iter	Passed	Remaining
0	0	44
1	0	39
2	1	37
3	1	34
4	1	33
5	2	33
6	2	33
7	2	32
8	3	32
9	3	32
10	3	31
11	4	31
12	4	31
13	4	30
14	5	30
15	5	30
16	6	32
17	7	32
18	8	35
19	8	35
20	9	34
21	9	33
22	9	32
23	10	31
24	10	31
25	10	30
26	11	29
27	11	29
28	11	28
29	11	27
30	12	27
31	12	26
32	12	26
33	13	25
34	13	25
35	13	24
36	14	24
37	14	23
38	15	23
39	15	23
40	15	22
41	15	21
42	16	21
43	16	20
44	16	20
45	17	20
46	17	19
47	17	19
48	18	18
49	18	18
50	18	17
51	19	17
52	19	17
53	19	16
54	19	16
55	20	15
56	20	15
57	21	15
58	21	14
59	21	14
60	22	14
61	22	14
62	23	13
63	23	13
64	24	12
65	24	12
66	24	12
67	25	11
68	25	11
69	26	11
70	26	10
71	26	10
72	27	10
73	27	9
74	27	9
75	28	8
76	28	8
77	28	8
78	29	7
79	29	7
80	29	6
81	30	6
82	30	6
83	30	5
84	31	5
85	31	5
86	31	4
87	32	4
88	32	4
89	32	3
90	33	3
91	33	2
92	33	2
93	34	2
94	34	1
95	34	1
96	35	1
97	35	0
98	36	0
99	36	0
